"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","05 Jul 2026 16:00:29 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
05-07 16:00:29,,1062228,11832192,141884,3123680,,,,,,,1.560,1.330,1.040,2,0,,,,11,4,0,9,2
05-07 16:00:30,27.636,26.142,44.566,0,0,1074784,11809840,142220,3132152,61072.851,33015.689,0,1043.691,0,18.922,4805,2497,1.560,1.330,1.040,3,0,141.416,0,0,11,4,0,9,2
05-07 16:00:31,28.858,25.847,44.668,0,0,1075084,11799116,142504,3140992,60994.937,34300.744,0,297.115,0,12.045,4773,2445,1.560,1.330,1.040,2,0,142.535,0,0,11,4,0,9,2
05-07 16:00:32,27.694,26.197,44.909,0,0,1087452,11767908,143016,3157904,45662.318,24833.595,0,1389.180,0,49.899,4803,2533,1.560,1.330,1.040,2,0,138.718,0,0,11,4,0,9,2
05-07 16:00:33,27.054,27.054,44.088,0.251,0,1083032,11759912,143924,3167600,60401.243,33218.680,0,8621.305,0,116.233,4774,2628,1.670,1.360,1.050,3,0,120.241,0,0,11,4,0,9,2
05-07 16:00:34,28.230,27.487,42.593,0.495,0,1077736,11751724,144548,3178780,60112.227,31780.129,3.962,1600.695,0.991,45.564,4623,2432,1.670,1.360,1.050,4,0,128.769,0,0,11,4,0,9,2
05-07 16:00:35,27.340,26.337,44.397,0.251,0,1087984,11719912,145436,3197640,45197.370,23483.610,0,1765.836,0,58.192,4512,2391,1.670,1.360,1.050,2,0,108.358,0,0,11,4,0,9,2
05-07 16:00:36,38.659,23.597,37.655,0,0,1042260,11776764,146016,3185104,45718.314,23406.411,0,1285.294,0,44.182,4124,3323,1.670,1.360,1.050,2,0,68.281,0,0,11,2,0,9,0
05-07 16:00:37,25.011,30.763,42.518,0.750,0,1050520,11767544,146016,3186064,60005.456,31179.227,936.397,20.008,13.006,5.002,4569,2378,1.670,1.360,1.050,2,0,152.065,0,0,11,2,0,9,0
05-07 16:00:38,32.089,29.602,37.064,0,0,1071724,11746336,146016,3186068,61591.719,31676.452,0,9798.954,0,21.890,4844,4201,2.020,1.440,1.070,4,0,109.452,0,0,11,3,0,9,0
05-07 16:00:39,34.981,25.166,40.014,0,0,1124052,11689900,146036,3224016,98691.205,1091912.892,0,1034.828,0,7.046,5746,5671,2.020,1.440,1.070,3,0,77.511,0,0,12,3,0,9,0
05-07 16:00:40,25.368,20.847,52.494,0,0,1197316,11613304,146072,3317372,45480.453,23296.312,0,3227.003,0,290.350,4592,2843,2.020,1.440,1.070,2,0,72.336,0,0,12,4,0,9,0
05-07 16:00:41,38.934,16.367,40.670,0,0,1205784,11604624,146072,3317540,60413.591,32728.327,15.871,15.871,0.992,3.968,6960,10554,2.020,1.440,1.070,2,0,24.799,0,0,12,4,0,9,0
05-07 16:00:42,35.886,19.825,43.163,0,0,1228912,11580456,146072,3318432,60796.813,33141.275,0,68.258,0,6.023,4232,3290,2.020,1.440,1.070,2,0,39.148,0,0,12,4,0,9,0
05-07 16:00:43,28.007,28.503,42.135,0,0,1225588,11583584,146072,3318552,45006.253,24160.771,0,16608.176,0,415.403,5419,2631,2.020,1.450,1.080,6,0,139.789,0,0,12,5,0,10,0
05-07 16:00:44,33.821,21.959,41.393,1.010,0,1236328,11572352,146168,3318864,60964.210,32484.631,209.995,2927.817,9.086,31.297,7367,11641,2.020,1.450,1.080,2,0,44.422,0,0,12,4,0,11,0
05-07 16:00:45,29.974,15.487,46.710,6.494,0,1257740,11548216,146348,3321132,44421.544,22802.260,2585.761,471.592,133.884,7.993,3373,2084,2.020,1.450,1.080,3,0,6.994,0,0,12,4,0,11,0
05-07 16:00:46,37.970,13.239,47.212,1.749,0,1254496,11557984,146464,3315020,29563.303,14970.001,511.590,1502.795,53.957,19.984,3163,1720,2.020,1.450,1.080,3,0,11.990,0,0,12,4,0,11,0
05-07 16:00:47,41.773,10.506,46.525,0.250,0,1278892,11532664,146596,3315756,29423.935,15086.170,112.061,592.321,5.003,4.002,2982,1500,2.020,1.450,1.080,2,0,17.009,0,0,12,4,0,11,0
05-07 16:00:48,28.199,16.969,51.657,0.749,0,1289716,11518752,148184,3317208,45432.816,24320.007,15.971,20714.529,0.998,704.725,6316,6821,1.930,1.440,1.080,4,0,59.892,0,0,12,6,0,11,0
05-07 16:00:49,15.763,16.013,58.296,3.753,0,1275636,11520480,154256,3323172,44027.111,22133.652,0,39895.817,0,2747.191,13779,20027,1.930,1.440,1.080,3,0,44.035,0,0,12,6,0,11,0
05-07 16:00:50,21.100,12.412,58.832,3.475,0,1268444,11520264,159208,3325448,30233.245,18798.469,0,31111.010,0,2238.102,11233,16992,1.930,1.440,1.080,4,0,30.781,0,0,12,6,0,11,0
05-07 16:00:51,13.096,18.133,65.731,1.259,0,1161428,11625724,160712,3325460,60355.313,30589.669,0,16371.709,0,819.996,5585,5336,1.930,1.440,1.080,2,0,75.552,0,0,12,4,0,11,0
05-07 16:00:52,20.400,7.961,70.406,0.249,0,1186336,11600612,160912,3325460,45157.636,24544.227,0,5326.010,0,147.281,2370,1839,1.930,1.440,1.080,3,0,1.990,0,0,12,4,0,11,0
05-07 16:00:53,21.616,6.786,70.879,0.251,0,1222848,11563860,161144,3325460,44859.007,22072.091,0,2843.212,0,134.721,2377,2010,1.860,1.430,1.080,1,0,0,0,0,12,4,0,11,0
05-07 16:00:54,24.444,4.240,70.587,0,0,1230648,11556032,161156,3325476,36503.832,18449.460,0,279.356,0,4.988,1897,1177,1.860,1.430,1.080,1,0,0,0,0,12,4,0,11,0
05-07 16:00:55,20.538,8.015,71.383,0,0,1199428,11587248,161156,3325480,60397.690,32620.864,0,0,0,0,2213,1502,1.860,1.430,1.080,1,0,12.022,0,0,12,4,0,11,0
05-07 16:00:56,22.269,6.255,71.561,0,0,1211020,11575656,161156,3325480,44089.536,21972.706,0,4.003,0,1.001,1947,1448,1.860,1.430,1.080,1,0,0,0,0,12,4,0,11,0
05-07 16:00:57,23.744,5.749,69.983,0,0,1228324,11558352,161156,3325480,49210.288,892825.507,0,0,0,0,2521,1774,1.860,1.430,1.080,1,0,1.000,0,0,12,4,0,11,0
05-07 16:00:58,16.718,11.728,70.616,0,0,1195084,11591580,161160,3325488,34754.096,202404.182,0,3.992,0,0.998,2879,1770,1.790,1.430,1.080,1,0,65.875,0,0,12,4,0,11,0
